Trades Summary,,,,,,,,
,,,Risk to Reward Ratio,,,,,
Trades,Date,Time,1.2,1.5,2,2.5,3,Symblos
90,2020-07-19,12.30 AM,hit,hit,hit,hit,miss,LTC
91,2020-07-19,12.00 PM,miss,miss,miss,miss,miss,ETH
92,2020-07-21,2.30 AM,hit,hit,hit,hit,hit,LTC
93,2020-07-25,02.45 AM,hit,hit,miss,miss,miss,BTC
94,2020-07-30,5.45 AM,hit,hit,hit,hit,miss,ETH
95,2020-08-01,3.30 PM,miss,miss,miss,miss,miss,BTC
96,2020-08-22,11.30 AM,hit,hit,miss,miss,miss,BTC
97,2020-08-23,05.30 AM,hit,hit,hit,hit,hit,BTC
98,2020-08-23,06.15 PM,hit,hit,hit,hit,hit,BTC
99,2020-08-24,10.30 AM,miss,miss,miss,miss,miss,LTC
100,2020-08-25,5.30 AM,hit,hit,hit,hit,hit,BTC
101,2020-08-30,1.30 PM,miss,miss,miss,miss,miss,LTC
102,2020-08-31,02.45 PM,hit,hit,hit,hit,hit,BTC
103,2020-09-01,07.15 AM,hit,hit,hit,hit,hit,BTC
104,2020-09-02,09.30 AM,miss,miss,miss,miss,miss,BTC
105,2020-09-05,06.30 PM,miss,miss,miss,miss,miss,BTC
106,2020-09-07,6.45 AM,hit,hit,hit,hit,hit,ETH
107,2020-09-13,2.30 PM,hit,hit,hit,hit,hit,BTC
108,2020-09-17,4.30 AM,hit,miss,miss,miss,miss,BTC
109,2020-09-19,11.30 PM,hit,hit,hit,hit,hit,BTC
110,2020-09-21,10.30 AM,hit,hit,hit,hit,hit,BTC
111,2020-09-24,05.30 PM,miss,miss,miss,miss,miss,BTC
112,2020-09-27,7.00 AM,hit,hit,hit,miss,miss,ETH
113,2020-09-27,10.30 AM,hit,hit,hit,hit,hit,BTC
114,2020-10-01,9.30 PM,miss,miss,miss,miss,miss,BTC
115,2020-10-05,8.30 AM,miss,miss,miss,miss,miss,BTC
116,2020-10-06,05.00 PM,miss,miss,miss,miss,miss,BTC
117,2020-10-08,03.30 AM,hit,hit,hit,hit,hit,BTC
118,2020-10-08,11.30 PM,miss,miss,miss,miss,miss,LTC
119,2020-10-16,2.30 PM,miss,miss,miss,miss,miss,BTC
120,2020-10-23,02.15 AM,hit,hit,hit,hit,miss,BTC
121,2020-10-23,11.30 PM,hit,hit,hit,hit,hit,BTC
122,2020-11-01,4.30 AM,hit,hit,hit,hit,hit,LTC
123,2020-11-02,7.30 PM,hit,hit,hit,hit,hit,BTC
124,2020-11-07,10.00 PM,miss,miss,miss,miss,miss,ETH
125,2020-11-07,10.00 PM,miss,miss,miss,miss,miss,BTC
126,2020-11-09,10.30 PM,hit,hit,hit,hit,hit,LTC
127,2020-11-11,11.15 PM,hit,hit,hit,hit,miss,ETH
128,2020-11-16,2.30 PM,miss,miss,miss,miss,miss,ETH
129,2020-11-19,05.15 PM,hit,hit,hit,hit,hit,BTC
130,2020-11-22,6.15 AM,hit,hit,hit,miss,miss,ETH
131,2020-11-25,11.15 AM,hit,hit,hit,hit,miss,BTC
132,2020-11-27,6.00 PM,miss,miss,miss,miss,miss,ETH
133,2020-11-28,06.00 PM,miss,miss,miss,miss,miss,BTC
134,2020-12-04,1130 AM,miss,miss,miss,miss,miss,ETH
135,2020-12-05,06.45 PM,miss,miss,miss,miss,miss,BTC
136,2020-12-06,04.00 PM,miss,miss,miss,miss,miss,BTC
137,2020-12-06,5.15 PM,miss,miss,miss,miss,miss,ETH
138,2020-12-07,5.30 AM,hit,hit,hit,hit,hit,ETH
139,2020-12-07,10.30 PM,hit,hit,hit,hit,hit,LTC
140,2020-12-08,6.30 PM,miss,miss,miss,miss,miss,BTC
141,2020-12-11,5.30 PM,hit,hit,hit,hit,hit,BTC
142,2020-12-15,8.15 AM,hit,hit,hit,miss,miss,ETH
143,2020-12-18,10.00 PM,hit,hit,hit,hit,hit,BTC
144,2020-12-20,10.15 AM,hit,hit,hit,hit,hit,BTC
145,2020-12-21,6.30 PM,hit,hit,hit,miss,miss,BTC
146,2020-12-23,05.45 PM,hit,hit,hit,miss,miss,BTC
147,2020-12-25,7.30 PM,miss,miss,miss,miss,miss,BTC
148,2020-12-29,11.00 AM,hit,hit,miss,miss,miss,ETH
149,2020-12-31,08.30 PM,hit,hit,hit,hit,hit,BTC
150,2021-01-10,8.30 AM,hit,hit,hit,hit,hit,LTC
151,2021-01-12,03.30 PM,hit,hit,hit,hit,miss,BTC
152,2021-01-12,8.15 PM,hit,hit,hit,hit,hit,ETH
153,2021-01-12,08.30 PM,hit,miss,miss,miss,miss,BTC
154,2021-01-15,10.00 PM,hit,hit,hit,hit,hit,ETH
155,2021-01-18,08.00 AM,hit,hit,hit,miss,miss,BTC
156,2021-02-01,3.30 AM,hit,hit,hit,hit,hit,BTC
157,2021-02-06,11.30 AM,miss,miss,miss,miss,miss,ETH
158,2021-02-16,11.45 PM,hit,hit,hit,hit,hit,BTC
159,2021-02-19,09.30 AM,hit,hit,hit,hit,hit,BTC
160,2021-02-21,5.30 AM,miss,miss,miss,miss,miss,LTC
161,2021-02-25,04.15 PM,hit,hit,hit,hit,hit,BTC
162,2021-02-26,10.45 PM,hit,hit,hit,hit,hit,ETH
163,2021-02-28,1.30 PM,hit,hit,hit,hit,hit,BTC
164,2021-03-02,3.30 PM,miss,miss,miss,miss,miss,LTC
165,2021-03-02,10.45 PM,hit,hit,hit,hit,hit,BTC
166,2021-03-10,6.30 AM,hit,hit,hit,hit,hit,ETH
167,2021-03-18,9.15 PM,miss,miss,miss,miss,miss,ETH
168,2021-03-19,11.15 AM,miss,miss,miss,miss,miss,BTC
169,2021-03-26,10.30 PM,miss,miss,miss,miss,miss,ETH
170,2021-03-28,7.00 PM,miss,miss,miss,miss,miss,ETH
171,2021-03-31,1.30 AM,miss,miss,miss,miss,miss,BTC
172,2021-04-04,08.00 PM,miss,miss,miss,miss,miss,BTC
173,2021-04-05,11.45 AM,hit,hit,hit,hit,hit,BTC
174,2021-04-12,1.15 PM,hit,hit,hit,miss,miss,ETH
175,2021-04-16,7.30 PM,miss,miss,miss,miss,miss,BTC
176,2021-04-17,08.30 AM,hit,hit,hit,hit,hit,BTC
177,2021-04-19,10.30 PM,miss,miss,miss,miss,miss,BTC
178,2021-04-23,1.30 AM,hit,hit,hit,hit,miss,LTC
179,2021-04-26,12.45 AM,hit,hit,hit,hit,hit,BTC
180,2021-04-28,08.15 AM,hit,hit,hit,hit,hit,BTC
181,2021-04-30,3.30 AM,hit,hit,hit,hit,hit,BTC
182,2021-05-09,7.00 PM,hit,hit,hit,hit,hit,ETH
183,2021-05-11,2.30 AM,hit,miss,miss,miss,miss,ETH
184,2021-05-12,05.45 PM,miss,miss,miss,miss,miss,BTC
185,2021-05-12,10.30 PM,miss,miss,miss,miss,miss,ETH
186,2021-05-15,12.30 AM,hit,hit,hit,hit,hit,BTC
187,2021-05-18,2.00 PM,hit,hit,hit,hit,hit,ETH
188,2021-05-25,5.45 PM,hit,hit,hit,hit,hit,ETH
189,2021-05-26,08.15 AM,miss,miss,miss,miss,miss,BTC
190,2021-05-26,6.30 PM,miss,miss,miss,miss,miss,LTC
191,2021-05-31,7.30 PM,miss,miss,miss,miss,miss,LTC
192,2021-06-04,2.30 PM,miss,miss,miss,miss,miss,LTC
193,2021-06-05,07.30 AM,hit,hit,hit,hit,hit,BTC
194,2021-06-05,03.45 PM,miss,miss,miss,miss,miss,BTC
195,2021-06-07,12.30 PM,hit,hit,hit,hit,hit,LTC
196,2021-06-12,03.45 AM,miss,miss,miss,miss,miss,BTC
197,2021-06-12,3.30 PM,hit,hit,hit,hit,hit,BTC
198,2021-06-12,4.45 PM,miss,miss,miss,miss,miss,ETH
199,2021-06-13,10.15 AM,hit,hit,hit,miss,miss,BTC
200,2021-06-13,07.45 PM,miss,miss,miss,miss,miss,BTC
201,2021-06-16,4.00 AM,miss,miss,miss,miss,miss,ETH
202,2021-06-17,04.15 PM,hit,hit,hit,hit,hit,BTC
